item_name,month,year,sale_units,price_per_unit,stock_level,stock_apple,sale_apple,stock_banana,sale_banana,stock_cucumber,sale_cucumber,stock_okra,sale_okra,stock_oranges,sale_oranges,stock_patato,sale_patato,stock_tomato,sale_tomato
Fruity Veggie Smoothie,December,2021,98,722,131,13100,9800,13100,9800,9825,7350,0,0,17030,12740,0,0,0,0
Spicy Veggie Stir-Fry,March,2022,69,759,124,0,0,0,0,9300,5175,7440,4140,0,0,18600,10350,6200,3450
Hearty Potato Curry,September,2022,61,840,105,0,0,0,0,0,0,6300,3660,0,0,15750,9150,5250,3050
Tropical Fruit Salad,October,2020,84,541,124,18600,12600,12400,8400,0,0,0,0,16120,10920,0,0,0,0
Fruity Veggie Smoothie,June,2024,93,951,141,14100,9300,14100,9300,10575,6975,0,0,18330,12090,0,0,0,0
Fruity Veggie Smoothie,November,2023,87,860,150,15000,8700,15000,8700,11250,6525,0,0,19500,11310,0,0,0,0
Fruity Veggie Smoothie,May,2021,85,563,150,15000,8500,15000,8500,11250,6375,0,0,19500,11050,0,0,0,0
Garden Vegetable Medley,February,2024,70,1110,101,0,0,0,0,7575,5250,6060,4200,0,0,0,0,5050,3500
Tropical Fruit Salad,June,2020,85,604,113,16950,12750,11300,8500,0,0,0,0,14690,11050,0,0,0,0
Hearty Potato Curry,August,2024,72,759,126,0,0,0,0,0,0,7560,4320,0,0,18900,10800,6300,3600
Fruity Veggie Smoothie,October,2024,81,1408,126,12600,8100,12600,8100,9450,6075,0,0,16380,10530,0,0,0,0
Tropical Fruit Salad,October,2024,84,1119,116,17400,12600,11600,8400,0,0,0,0,15080,10920,0,0,0,0
Fruity Veggie Smoothie,March,2023,85,752,138,13800,8500,13800,8500,10350,6375,0,0,17940,11050,0,0,0,0
Tropical Fruit Salad,October,2023,72,933,112,16800,10800,11200,7200,0,0,0,0,14560,9360,0,0,0,0
Fruity Veggie Smoothie,March,2020,85,443,141,14100,8500,14100,8500,10575,6375,0,0,18330,11050,0,0,0,0
Fruity Veggie Smoothie,June,2023,82,793,149,14900,8200,14900,8200,11175,6150,0,0,19370,10660,0,0,0,0
Spicy Veggie Stir-Fry,February,2024,67,876,111,0,0,0,0,8325,5025,6660,4020,0,0,16650,10050,5550,3350
Fruity Veggie Smoothie,August,2022,82,680,143,14300,8200,14300,8200,10725,6150,0,0,18590,10660,0,0,0,0
Hearty Potato Curry,May,2022,79,807,104,0,0,0,0,0,0,6240,4740,0,0,15600,11850,5200,3950
Hearty Potato Curry,October,2023,72,1162,112,0,0,0,0,0,0,6720,4320,0,0,16800,10800,5600,3600
Garden Vegetable Medley,July,2021,52,685,108,0,0,0,0,8100,3900,6480,3120,0,0,0,0,5400,2600
Garden Vegetable Medley,June,2024,54,964,93,0,0,0,0,6975,4050,5580,3240,0,0,0,0,4650,2700
Spicy Veggie Stir-Fry,October,2020,82,462,107,0,0,0,0,8025,6150,6420,4920,0,0,16050,12300,5350,4100
Spicy Veggie Stir-Fry,November,2020,84,590,119,0,0,0,0,8925,6300,7140,5040,0,0,17850,12600,5950,4200
Garden Vegetable Medley,September,2023,56,1118,96,0,0,0,0,7200,4200,5760,3360,0,0,0,0,4800,2800
Tropical Fruit Salad,July,2023,80,829,120,18000,12000,12000,8000,0,0,0,0,15600,10400,0,0,0,0
Spicy Veggie Stir-Fry,June,2023,68,686,105,0,0,0,0,7875,5100,6300,4080,0,0,15750,10200,5250,3400
Spicy Veggie Stir-Fry,August,2024,71,980,125,0,0,0,0,9375,5325,7500,4260,0,0,18750,10650,6250,3550
Hearty Potato Curry,February,2023,80,669,126,0,0,0,0,0,0,7560,4800,0,0,18900,12000,6300,4000
Fruity Veggie Smoothie,November,2024,89,1032,123,12300,8900,12300,8900,9225,6675,0,0,15990,11570,0,0,0,0
Tropical Fruit Salad,June,2021,84,666,134,20100,12600,13400,8400,0,0,0,0,17420,10920,0,0,0,0
Hearty Potato Curry,September,2023,66,1008,130,0,0,0,0,0,0,7800,3960,0,0,19500,9900,6500,3300
Tropical Fruit Salad,October,2022,74,778,117,17550,11100,11700,7400,0,0,0,0,15210,9620,0,0,0,0
Tropical Fruit Salad,January,2022,87,926,119,17850,13050,11900,8700,0,0,0,0,15470,11310,0,0,0,0
Fruity Veggie Smoothie,December,2022,95,866,125,12500,9500,12500,9500,9375,7125,0,0,16250,12350,0,0,0,0
Garden Vegetable Medley,December,2024,58,1213,101,0,0,0,0,7575,4350,6060,3480,0,0,0,0,5050,2900
Tropical Fruit Salad,August,2020,90,698,117,17550,13500,11700,9000,0,0,0,0,15210,11700,0,0,0,0
Garden Vegetable Medley,July,2022,65,822,116,0,0,0,0,8700,4875,6960,3900,0,0,0,0,5800,3250
Tropical Fruit Salad,November,2023,85,880,140,21000,12750,14000,8500,0,0,0,0,18200,11050,0,0,0,0
Garden Vegetable Medley,February,2021,59,643,110,0,0,0,0,8250,4425,6600,3540,0,0,0,0,5500,2950
Garden Vegetable Medley,October,2022,61,801,103,0,0,0,0,7725,4575,6180,3660,0,0,0,0,5150,3050
Garden Vegetable Medley,May,2021,66,613,110,0,0,0,0,8250,4950,6600,3960,0,0,0,0,5500,3300
Spicy Veggie Stir-Fry,November,2023,66,1018,126,0,0,0,0,9450,4950,7560,3960,0,0,18900,9900,6300,3300
Garden Vegetable Medley,January,2020,68,668,90,0,0,0,0,6750,5100,5400,4080,0,0,0,0,4500,3400
Garden Vegetable Medley,June,2021,60,514,110,0,0,0,0,8250,4500,6600,3600,0,0,0,0,5500,3000
Garden Vegetable Medley,April,2020,55,442,107,0,0,0,0,8025,4125,6420,3300,0,0,0,0,5350,2750
Fruity Veggie Smoothie,July,2024,99,932,129,12900,9900,12900,9900,9675,7425,0,0,16770,12870,0,0,0,0
Fruity Veggie Smoothie,February,2024,96,1404,147,14700,9600,14700,9600,11025,7200,0,0,19110,12480,0,0,0,0
Garden Vegetable Medley,April,2024,59,800,107,0,0,0,0,8025,4425,6420,3540,0,0,0,0,5350,2950
Fruity Veggie Smoothie,April,2024,84,1170,127,12700,8400,12700,8400,9525,6300,0,0,16510,10920,0,0,0,0
Fruity Veggie Smoothie,January,2020,88,389,134,13400,8800,13400,8800,10050,6600,0,0,17420,11440,0,0,0,0
Hearty Potato Curry,January,2022,78,954,113,0,0,0,0,0,0,6780,4680,0,0,16950,11700,5650,3900
Fruity Veggie Smoothie,December,2024,85,1246,131,13100,8500,13100,8500,9825,6375,0,0,17030,11050,0,0,0,0
Garden Vegetable Medley,April,2021,61,464,97,0,0,0,0,7275,4575,5820,3660,0,0,0,0,4850,3050
Spicy Veggie Stir-Fry,October,2024,68,960,133,0,0,0,0,9975,5100,7980,4080,0,0,19950,10200,6650,3400
Spicy Veggie Stir-Fry,March,2023,65,910,113,0,0,0,0,8475,4875,6780,3900,0,0,16950,9750,5650,3250
Garden Vegetable Medley,February,2023,51,925,105,0,0,0,0,7875,3825,6300,3060,0,0,0,0,5250,2550
Garden Vegetable Medley,September,2022,60,932,99,0,0,0,0,7425,4500,5940,3600,0,0,0,0,4950,3000
Fruity Veggie Smoothie,January,2021,88,488,150,15000,8800,15000,8800,11250,6600,0,0,19500,11440,0,0,0,0
Tropical Fruit Salad,February,2022,77,975,138,20700,11550,13800,7700,0,0,0,0,17940,10010,0,0,0,0
Fruity Veggie Smoothie,May,2024,95,972,150,15000,9500,15000,9500,11250,7125,0,0,19500,12350,0,0,0,0
Tropical Fruit Salad,December,2024,84,782,116,17400,12600,11600,8400,0,0,0,0,15080,10920,0,0,0,0
Tropical Fruit Salad,July,2020,79,377,130,19500,11850,13000,7900,0,0,0,0,16900,10270,0,0,0,0
Fruity Veggie Smoothie,June,2020,84,480,150,15000,8400,15000,8400,11250,6300,0,0,19500,10920,0,0,0,0
Hearty Potato Curry,June,2024,64,1018,111,0,0,0,0,0,0,6660,3840,0,0,16650,9600,5550,3200
Tropical Fruit Salad,July,2022,71,691,113,16950,10650,11300,7100,0,0,0,0,14690,9230,0,0,0,0
Tropical Fruit Salad,November,2021,83,612,119,17850,12450,11900,8300,0,0,0,0,15470,10790,0,0,0,0
Spicy Veggie Stir-Fry,May,2021,74,482,118,0,0,0,0,8850,5550,7080,4440,0,0,17700,11100,5900,3700
Tropical Fruit Salad,September,2024,76,1341,110,16500,11400,11000,7600,0,0,0,0,14300,9880,0,0,0,0
Fruity Veggie Smoothie,July,2020,82,417,148,14800,8200,14800,8200,11100,6150,0,0,19240,10660,0,0,0,0
Garden Vegetable Medley,January,2024,70,1383,106,0,0,0,0,7950,5250,6360,4200,0,0,0,0,5300,3500
Hearty Potato Curry,July,2020,61,362,126,0,0,0,0,0,0,7560,3660,0,0,18900,9150,6300,3050
Fruity Veggie Smoothie,March,2024,92,902,130,13000,9200,13000,9200,9750,6900,0,0,16900,11960,0,0,0,0
Fruity Veggie Smoothie,February,2021,92,813,144,14400,9200,14400,9200,10800,6900,0,0,18720,11960,0,0,0,0
Hearty Potato Curry,October,2020,70,674,116,0,0,0,0,0,0,6960,4200,0,0,17400,10500,5800,3500
Spicy Veggie Stir-Fry,July,2023,75,1002,118,0,0,0,0,8850,5625,7080,4500,0,0,17700,11250,5900,3750
Garden Vegetable Medley,November,2021,53,638,92,0,0,0,0,6900,3975,5520,3180,0,0,0,0,4600,2650
Garden Vegetable Medley,January,2022,62,961,108,0,0,0,0,8100,4650,6480,3720,0,0,0,0,5400,3100
Garden Vegetable Medley,July,2020,59,571,90,0,0,0,0,6750,4425,5400,3540,0,0,0,0,4500,2950
Spicy Veggie Stir-Fry,January,2024,71,1111,121,0,0,0,0,9075,5325,7260,4260,0,0,18150,10650,6050,3550
Hearty Potato Curry,August,2023,62,633,113,0,0,0,0,0,0,6780,3720,0,0,16950,9300,5650,3100
Hearty Potato Curry,November,2022,74,925,109,0,0,0,0,0,0,6540,4440,0,0,16350,11100,5450,3700
Tropical Fruit Salad,August,2021,76,837,120,18000,11400,12000,7600,0,0,0,0,15600,9880,0,0,0,0
Hearty Potato Curry,May,2020,67,402,112,0,0,0,0,0,0,6720,4020,0,0,16800,10050,5600,3350
Garden Vegetable Medley,August,2021,65,732,93,0,0,0,0,6975,4875,5580,3900,0,0,0,0,4650,3250
Garden Vegetable Medley,July,2024,60,1183,101,0,0,0,0,7575,4500,6060,3600,0,0,0,0,5050,3000
Garden Vegetable Medley,November,2024,56,952,92,0,0,0,0,6900,4200,5520,3360,0,0,0,0,4600,2800
Garden Vegetable Medley,January,2021,66,801,97,0,0,0,0,7275,4950,5820,3960,0,0,0,0,4850,3300
Tropical Fruit Salad,April,2021,85,757,112,16800,12750,11200,8500,0,0,0,0,14560,11050,0,0,0,0
Tropical Fruit Salad,November,2020,72,510,119,17850,10800,11900,7200,0,0,0,0,15470,9360,0,0,0,0
Fruity Veggie Smoothie,March,2021,94,523,128,12800,9400,12800,9400,9600,7050,0,0,16640,12220,0,0,0,0
Garden Vegetable Medley,June,2023,60,804,118,0,0,0,0,8850,4500,7080,3600,0,0,0,0,5900,3000
Garden Vegetable Medley,September,2020,50,648,94,0,0,0,0,7050,3750,5640,3000,0,0,0,0,4700,2500
Fruity Veggie Smoothie,September,2023,94,994,123,12300,9400,12300,9400,9225,7050,0,0,15990,12220,0,0,0,0
Tropical Fruit Salad,February,2023,84,1170,133,19950,12600,13300,8400,0,0,0,0,17290,10920,0,0,0,0
Tropical Fruit Salad,May,2021,86,499,123,18450,12900,12300,8600,0,0,0,0,15990,11180,0,0,0,0
Hearty Potato Curry,December,2024,61,1128,126,0,0,0,0,0,0,7560,3660,0,0,18900,9150,6300,3050
Hearty Potato Curry,April,2022,79,669,112,0,0,0,0,0,0,6720,4740,0,0,16800,11850,5600,3950
Spicy Veggie Stir-Fry,November,2022,76,849,114,0,0,0,0,8550,5700,6840,4560,0,0,17100,11400,5700,3800
Garden Vegetable Medley,August,2020,53,610,98,0,0,0,0,7350,3975,5880,3180,0,0,0,0,4900,2650
Fruity Veggie Smoothie,January,2024,91,1002,138,13800,9100,13800,9100,10350,6825,0,0,17940,11830,0,0,0,0
Garden Vegetable Medley,October,2020,56,368,119,0,0,0,0,8925,4200,7140,3360,0,0,0,0,5950,2800
Tropical Fruit Salad,August,2022,87,1004,122,18300,13050,12200,8700,0,0,0,0,15860,11310,0,0,0,0
Fruity Veggie Smoothie,April,2020,86,565,123,12300,8600,12300,8600,9225,6450,0,0,15990,11180,0,0,0,0
Spicy Veggie Stir-Fry,February,2022,85,609,116,0,0,0,0,8700,6375,6960,5100,0,0,17400,12750,5800,4250
Fruity Veggie Smoothie,October,2023,100,1174,125,12500,10000,12500,10000,9375,7500,0,0,16250,13000,0,0,0,0
Hearty Potato Curry,September,2021,74,700,102,0,0,0,0,0,0,6120,4440,0,0,15300,11100,5100,3700
Tropical Fruit Salad,July,2021,75,671,140,21000,11250,14000,7500,0,0,0,0,18200,9750,0,0,0,0
Fruity Veggie Smoothie,February,2020,80,678,123,12300,8000,12300,8000,9225,6000,0,0,15990,10400,0,0,0,0
Garden Vegetable Medley,January,2023,65,1153,110,0,0,0,0,8250,4875,6600,3900,0,0,0,0,5500,3250
Hearty Potato Curry,January,2021,79,795,127,0,0,0,0,0,0,7620,4740,0,0,19050,11850,6350,3950
Spicy Veggie Stir-Fry,November,2021,78,708,106,0,0,0,0,7950,5850,6360,4680,0,0,15900,11700,5300,3900
Garden Vegetable Medley,March,2022,68,746,104,0,0,0,0,7800,5100,6240,4080,0,0,0,0,5200,3400
Spicy Veggie Stir-Fry,September,2020,77,431,106,0,0,0,0,7950,5775,6360,4620,0,0,15900,11550,5300,3850
Spicy Veggie Stir-Fry,June,2020,74,525,113,0,0,0,0,8475,5550,6780,4440,0,0,16950,11100,5650,3700
Garden Vegetable Medley,September,2024,56,1341,96,0,0,0,0,7200,4200,5760,3360,0,0,0,0,4800,2800
Hearty Potato Curry,March,2022,68,674,100,0,0,0,0,0,0,6000,4080,0,0,15000,10200,5000,3400
Spicy Veggie Stir-Fry,May,2024,74,824,130,0,0,0,0,9750,5550,7800,4440,0,0,19500,11100,6500,3700
Fruity Veggie Smoothie,June,2021,99,625,124,12400,9900,12400,9900,9300,7425,0,0,16120,12870,0,0,0,0
Fruity Veggie Smoothie,March,2022,93,627,136,13600,9300,13600,9300,10200,6975,0,0,17680,12090,0,0,0,0
Tropical Fruit Salad,August,2024,70,1444,135,20250,10500,13500,7000,0,0,0,0,17550,9100,0,0,0,0
Hearty Potato Curry,May,2024,60,1161,112,0,0,0,0,0,0,6720,3600,0,0,16800,9000,5600,3000
Fruity Veggie Smoothie,May,2020,96,466,130,13000,9600,13000,9600,9750,7200,0,0,16900,12480,0,0,0,0
Hearty Potato Curry,December,2023,72,940,102,0,0,0,0,0,0,6120,4320,0,0,15300,10800,5100,3600
Hearty Potato Curry,August,2021,76,547,130,0,0,0,0,0,0,7800,4560,0,0,19500,11400,6500,3800
Spicy Veggie Stir-Fry,February,2021,70,593,125,0,0,0,0,9375,5250,7500,4200,0,0,18750,10500,6250,3500
Tropical Fruit Salad,March,2023,74,830,133,19950,11100,13300,7400,0,0,0,0,17290,9620,0,0,0,0
Hearty Potato Curry,June,2020,60,475,124,0,0,0,0,0,0,7440,3600,0,0,18600,9000,6200,3000
Fruity Veggie Smoothie,April,2021,90,678,141,14100,9000,14100,9000,10575,6750,0,0,18330,11700,0,0,0,0
Spicy Veggie Stir-Fry,August,2023,66,817,115,0,0,0,0,8625,4950,6900,3960,0,0,17250,9900,5750,3300
Hearty Potato Curry,June,2021,77,590,128,0,0,0,0,0,0,7680,4620,0,0,19200,11550,6400,3850
Garden Vegetable Medley,May,2024,60,1058,91,0,0,0,0,6825,4500,5460,3600,0,0,0,0,4550,3000
Hearty Potato Curry,January,2024,71,1372,114,0,0,0,0,0,0,6840,4260,0,0,17100,10650,5700,3550
Garden Vegetable Medley,October,2024,66,1153,99,0,0,0,0,7425,4950,5940,3960,0,0,0,0,4950,3300
Spicy Veggie Stir-Fry,February,2023,73,730,131,0,0,0,0,9825,5475,7860,4380,0,0,19650,10950,6550,3650
Spicy Veggie Stir-Fry,August,2022,75,681,131,0,0,0,0,9825,5625,7860,4500,0,0,19650,11250,6550,3750
Hearty Potato Curry,December,2022,68,784,107,0,0,0,0,0,0,6420,4080,0,0,16050,10200,5350,3400
Hearty Potato Curry,September,2024,60,1209,128,0,0,0,0,0,0,7680,3600,0,0,19200,9000,6400,3000
Hearty Potato Curry,November,2024,60,1332,102,0,0,0,0,0,0,6120,3600,0,0,15300,9000,5100,3000
Tropical Fruit Salad,March,2020,87,452,126,18900,13050,12600,8700,0,0,0,0,16380,11310,0,0,0,0
Garden Vegetable Medley,August,2024,57,1263,97,0,0,0,0,7275,4275,5820,3420,0,0,0,0,4850,2850
Hearty Potato Curry,December,2021,77,654,129,0,0,0,0,0,0,7740,4620,0,0,19350,11550,6450,3850
Hearty Potato Curry,October,2024,78,1394,105,0,0,0,0,0,0,6300,4680,0,0,15750,11700,5250,3900
Hearty Potato Curry,January,2020,67,663,114,0,0,0,0,0,0,6840,4020,0,0,17100,10050,5700,3350
Fruity Veggie Smoothie,July,2022,83,648,121,12100,8300,12100,8300,9075,6225,0,0,15730,10790,0,0,0,0
Spicy Veggie Stir-Fry,September,2021,69,495,113,0,0,0,0,8475,5175,6780,4140,0,0,16950,10350,5650,3450
Hearty Potato Curry,August,2020,65,456,126,0,0,0,0,0,0,7560,3900,0,0,18900,9750,6300,3250
Garden Vegetable Medley,March,2021,62,622,119,0,0,0,0,8925,4650,7140,3720,0,0,0,0,5950,3100
